序号,分类代号,分类名称,纤维代码,中文通用名,英文名称,化学命名,CAS号,代际划分,发明年代,商业化年代,首发机构/发明人,纺丝成型工艺,密度(g/cm³),断裂强度(cN/dtex),断裂强度(GPa),拉伸模量(GPa),断裂伸长率(%),公定回潮率(%),极限氧指数LOI(%),熔点(°C),最高服役温度(°C),生物基,可生物降解,战略高性能,代表品牌/商标,典型应用领域,2026技术成熟度与产业现状
76,INORG_CERAMIC,先进连续陶瓷纤维,SI3N4-F,连续氮化硅纤维 (Si3N4纤维),Continuous Silicon Nitride Fiber,多晶氮化硅结构陶瓷长丝,12033-89-5,第4代超高温耐磨特种陶瓷纤维,1980s,2000s,Dow Corning / 日本东燃 (Tonen) / 中科院化学所,聚硅氮烷(Polysilazane)前驱体聚合熔融纺丝，氨气气氛下脱碳交联高温热解,2.5,10.5,2.6,250.0,1.0,0.0,100.0,1900.0,1300.0,否,否,是,"Tonen Si3N4, 聚硅氮烷基氮化硅纤维",超高超音速导弹天线罩耐冲刷透波复合材料、耐熔融金属浸润坩埚内衬、耐磨高温轴承增强件,具有优于SiC的微波透波率与极佳抗熔融铝液铁水腐蚀性，在电磁窗口与特种冶金中实现列装应用
77,INORG_CERAMIC,先进连续陶瓷纤维,BORON-F,连续硼纤维 (Boron Fiber),Continuous Boron Fiber,微晶元素硼在钨丝/碳丝基底上气相沉积包覆物,14798-12-0,第2代超高刚度结构增强纤维,1959,1966,Claude Talley (Texaco / 特士古) / Specialty Materials Inc,化学气相沉积法 (CVD): 以12微米极细钨丝或碳丝为芯材通电红热(1200℃)，三氯化硼与氢气在反应室还原沉积硼,2.55,14.0,3.6,400.0,0.9,0.0,100.0,2070.0,500.0,否,否,是,"Specialty Materials Boron, Textron Boron",F-15/F-14战机水平平尾主承力结构、B-1轰炸机机翼后梁、核反应堆中子吸收屏蔽网、顶级钓竿中段加劲丝,凭借超粗单丝直径带来的超强抗压缩与轴向承载力，在战斗机受损机体碳/硼复合补片微创原位修复中持续独占关键地位
78,INORG_METAL,微细金属与智能液态金属纤维,SS-F,不锈钢超细微丝纤维 (金属纤维),Stainless Steel Microfiber (Metal Fiber),奥氏体316L微合金不锈钢,65997-19-5,第2代特种多功能导电纤维,1960s,1970s,Bekaert (比利时贝卡尔特 Bekinox) / 西部材料,集束拉拔法 (Bundle Drawing): 上千根不锈钢丝包覆于软钢基体中多道次冷拉拔减径至1-8微米后酸洗溶去基体,7.9,1.5,1.2,200.0,2.0,0.0,100.0,1400.0,600.0,否,否,是,"Bekinox (贝卡尔特), Bekaert Beki-sheld, 西部材料金属纤维",军工防电磁辐射服织物、触摸屏手套导电指尖指头纱、汽车挡风玻璃热弯耐高温缓冲织物、防静电洁净室工装,单丝直径突破1微米极限并能与棉、涤纶等任意混纺成高支纱线，成为智能穿戴柔性电极不可磨损的高可靠金属导体
79,INORG_METAL,微细金属与智能液态金属纤维,LM-F,镓铟液态合金柔性同轴拉伸纤维 (液态金属纤维),Liquid Metal Coaxial Stretchable Fiber (EGaIn Fiber),共晶镓铟合金核/弹性硅胶-聚氨酯壳层,,第4代室温流态高导电智能纤维,2010s,2022,Dickey (北卡州立大学) / 刘静 (清华大学/理化所),同轴微流控共挤出纺丝 (外层聚合弹性体原位光固化，内芯连续注入室温液态金属),2.1,0.8,0.08,0.02,700.0,0.0,28.0,15.5,120.0,否,否,是,"LiquidConduct, EGaIn Fiber",大幅拉伸变形下电阻近乎零变化的超弹柔性天线、可水洗智能织物心电ECG传感导线、软体机器人人工肌肉驱动线,解决严苛剪切破裂下自愈合封装难题，在万次700%超大拉伸循环下电阻变化率小于5%，进入智能运动医疗量产
80,EMG_BIOENG,合成生物工程与仿生结构蛋白纤维,SPIDER-F,重组基因工程蜘蛛丝纤维 (人造蜘蛛丝),Recombinant Spider Silk Protein Fiber,基因工程大肠杆菌/酵母重组大壶状腺蛛丝蛋白 (MaSp1/MaSp2),,第4代合成生物学革命性仿生纤维,1990s,2019,Spiber (日本) / AMSilk (德国) / 聚维元创 / 态创生物,发酵工程菌超高密度发酵合成重组蛛丝蛋白，微流控模拟蜘蛛纺丝管进行水相剪切拉伸结晶成纤,1.32,8.5,1.15,15.0,35.0,10.0,24.0,,150.0,是,是,是,"Brewed Protein (Spiber), Biosteel (AMSilk), QMONOS",奢华户外极地探索冲锋衣(Moon Parka)、可吸收无异物感神经外科精密缝线、环保超韧防震汽车保险杠复合增强织物,百吨级工业化生物合成发酵工厂满产，成本由每公斤上万美元大幅降至百美元区间，全生物相容完全降解
81,EMG_AERO,仿生纳微多孔气凝胶超绝热纤维,AERO-F,仿北极熊毛纳微多孔气凝胶超保暖纤维,Biomimetic Aerogel Textile Fiber,仿北极熊毛芯-壳结构微孔二氧化硅-高分子纳米气凝胶复合长丝,,第4代极端热防护仿生织物纤维,2018,2023,柏浩 (浙江大学化工学院团队原创发明),定向冻结冷冻纺丝结合超临界CO2干燥，并在外层原位共挤包覆坚韧透明聚酯/聚氨酯保护鞘层,0.25,3.8,0.1,1.2,16.0,1.5,32.0,220.0,160.0,否,否,是,"PolarAerogel, 仿生极地绒",零下40℃极地超薄羽绒替代保暖服、航天员出舱服保暖层、冷链物流超薄隔热垫、红外热隐身伪装迷彩服,完全解决传统气凝胶易脆碎掉粉难题，仅数毫米厚度即可达到传统厚重羽绒服同等保暖效果，耐洗涤超50次
82,EMG_2D,二维晶体材料复合功能纤维,MXENE-F,MXene二维过渡金属碳化物智能导电纤维,MXene Multifunctional Smart Fiber,二维碳化钛 (Ti3C2Tx) 纳米多层叠合长丝,12363-89-2,第4代超高电导率二维晶体纳米纤维,2011,2022,Yury Gogotsi / 德雷塞尔大学 / 北京化工大学 / 复旦大学,无表面活性剂大单片无缺陷Ti3C2Tx液晶相水溶液直接湿法挤出微流控纺丝,3.2,4.5,0.65,55.0,3.0,0.5,35.0,,200.0,否,否,是,"MXeneFil, 钛碳烯纤维",超薄轻量化宽频电磁屏蔽织物(屏蔽效能>80 dB)、高灵敏呼气微湿度探测纤维、极端快速电热变温服、超级电容器储能电极,通过化学配位与表面聚合物分子级抗氧化包覆，彻底攻克水氧环境下易氧化降解难题，电导率稳定在1.2×10^6 S/m
83,EMG_ENERGY,纤维状储能、发电与光电探测器件,FIBER-LIB,全柔性纤维状锂离子储能电池,Fiber-shaped Lithium-ion Battery (Fiber-LIB),同轴准固态正负极活性材料与凝胶电解质同轴连续纤维,,第4代穿戴式本体储能革命性器件,2014,2023,彭慧胜 (复旦大学高分子科学系院士团队原创发明),连续多层流挤出包覆同轴纺丝工艺，原位紫外光固化高离子电导率凝胶聚合物电解质,1.85,1.2,0.15,2.5,15.0,0.0,30.0,,80.0,否,否,是,"FiberBatt, 彭慧胜团队纤维电池",织物级隐形储能电源(一件普通编织发热衣可连续为手机无线充电4小时)、消防智能搜救服中枢能源、植入微型医疗设备供电,实现百米级全自动连续编织与工业织机无损走纱，能量密度突破100 Wh/kg，经受万次弯折与强力水洗容量保持率>90%
84,EMG_ENERGY,纤维状储能、发电与光电探测器件,TENG-F,织物摩擦纳米发电机纤维 (TENG人体动能捕获纤维),Triboelectric Nanogenerator Fiber,微结构全氟乙丙烯/硅橡胶/银导电微核共挤弹性纤维,,第4代环境自驱动能源纤维,2012,2022,王中林 (佐治亚理工 / 中科院纳米能源所),微纳复合成型与同轴熔融纺丝，表面激光微纳阵列织构化处理增大接触带电面积,1.35,2.2,0.25,1.5,40.0,0.1,32.0,190.0,110.0,否,否,是,"NanoTENG Fiber, 纳米能源所自驱动织物",自供电运动鞋垫与步态监测衣、落雨水滴能量收集伞面、无需外接电池的永久免充电无线SOS定位发报夹克,瞬时输出功率密度达到50 W/m²，日常行走摆臂产生的电能可直接点亮数百颗LED并持续驱动蓝牙数据传输芯片
85,EMG_SMART,智能响应与自适应调温变色纤维,PCM-F,微胶囊相变智能调温纤维 (Outlast双向恒温纤维),Phase Change Material Fiber (PCM Fiber),包覆高级烷烃微胶囊共混聚酯或腈纶,,第3代自适应智能恒温舒适纤维,1980s,1997,NASA 宇航服宇航温控研究 / Outlast Technologies,湿法或熔融纺丝 (将高焓值相变石蜡微胶囊高度分散均匀注入高聚物基体中),1.25,3.0,0.36,4.5,28.0,1.2,21.0,220.0,120.0,否,否,否,"Outlast (奥特莱斯), 恒温天丝, 溢达PCM微胶囊纤维",宇航员宇航服手套内衬、高级四季恒温羽绒被、高热负荷电竞椅垫、户外骤冷骤热运动冲锋衣中层,纳米无缝二氧化硅壁材微胶囊实现耐受普通机洗100次无渗漏，相变潜热焓值突破80 J/g，实现人体体表微气候±2℃动态自稳定
86,EMG_SMART,智能响应与自适应调温变色纤维,SMP-F,温敏与力敏形状记忆聚合物自适应透气纤维,Shape Memory Polymer Adaptive Fiber,热致/湿致形状记忆嵌段共聚聚氨酯,,第4代仿生动态呼吸智能纤维,1990s,2015,Mitsubishi Heavy Industries (三菱重工 DiAPLEX) / 香港理工大学,干湿法微孔纺丝，精确调控聚合物微相分离可逆相转变温度(Tg/Tm设定在体温34-37℃),1.19,2.8,0.32,1.8,200.0,2.0,22.0,180.0,110.0,否,否,否,"DiAPLEX (透湿记忆薄膜与纤维), MemoryTex",出汗发热时微孔自动扩张‘呼气’排热、降温静止时微孔自动收缩‘吸气’保暖的智能变孔隙运动织物、防烫伤自膨胀防护服,响应时间缩短至秒级，可逆孔隙开合率提升至40%，成为高端滑雪服与特种极限战备服自适应环境调控核心黑科技
87,EMG_SMART,智能响应与自适应调温变色纤维,FIBER-DISP,大面积全柔性纤维电致发光与显示器件,Electro-luminescent Display & Light-Emitting Fiber,同轴发光层(发光高分子/钙钛矿)/透明导电聚合物电极织物纤维,,第4代信息交互概念级发光显示纤维,2015,2024,彭慧胜 (复旦大学团队发光织物) / 韩国科学技术院 (KAIST),同轴复合溶液精密涂覆与微流控挤出，形成经纬交织发光微像素点阵,1.45,2.0,0.26,3.0,20.0,0.0,24.0,200.0,90.0,否,否,是,"LumiTextile, DisplayFiber",衣服表面全彩动态地图导航显示、聋哑人士手势手套触控发光转文字衣、夜间交警及施工人员全自发光安全警示服,发光亮度突破1000 cd/m²，功耗小于瓦特级，耐折叠耐水洗达30次，实现衣物与智能手机蓝牙连接直接推送显示即时通知
88,REG_CELL,再生纤维素纤维,BAMBOO,竹浆纤维 (竹粘胶纤维/竹素纤维),Bamboo Pulp Viscose Fiber,竹子纤维素经黄原酸酯法再生聚合物,68442-85-3,第2代特色天然生物质人造纤维,1990s,2002,吉林化纤 (天竹纤维),湿法纺丝 (竹材粉碎蒸煮制浆、黄化溶解后湿法成形),1.5,2.3,0.34,5.8,21.0,13.5,19.5,,120.0,是,是,否,Tanboocel (天竹 / 吉林化纤),天然抑菌毛巾、亲肤凉爽夏季凉席面料、竹纤维袜子内衣、卫生擦拭无纺布,绿色循环闭环清洁制浆技术全面升级，天然多孔横截面赋予其优异的透气排湿与抑菌防臭特性
89,SYN_PET,聚酯系纤维,LMPET,低熔点聚酯复合纤维 (LMPET热熔粘结纤维),Low-Melting Polyester Fiber (LMPET),PET芯层 / 间苯二甲酸/己二酸改性共聚酯外皮层,25038-59-9,第2代环保功能热熔粘合纤维,1980s,1990s,Huvis (韩国汇维仕) / 远东新世纪 / 恒逸石化,双组分皮芯复合熔融纺丝 (皮层熔点精确控制在110-160℃，芯层PET熔点255℃),1.36,3.6,0.49,9.0,35.0,0.4,20.5,110.0,100.0,否,否,否,"Huvis LMF, 远东新世纪LMPET",替代传统有毒胶水制作床垫热风棉、汽车内饰顶棚隔音棉、无胶热轧水刺无纺布、环保过滤棉,彻底取缔脲醛树脂化学粘合剂，成为万亿级家居软装与汽车NVH降噪隔热棉绿色升级第一大材料
90,SYN_PO,聚烯烃系纤维,ES-F,双组分聚烯烃复合纤维 (ES纤维 / 热风粘合纤维),Bicomponent Polyolefin Composite Fiber (ES Fiber),PE外皮 / PP或PET内芯双组分复合聚合物,,第2代高蓬松亲水复合纤维,1970s,1980s,Chisso (日本捷索 / JNC) / 广州纤维,复合熔融纺丝 (双组分同轴挤出复合，受热时PE皮层软化粘接而PP芯层保持挺括),0.93,3.0,0.28,3.0,50.0,0.1,18.0,130.0,90.0,否,否,否,"ES Fiber (JNC), 恒天江南高纤ES",婴儿高端极软纸尿裤面层热风无纺布、女性卫生巾亲肤表层、高透气KN95口罩支撑层,超细旦(0.8-1.2 dtex)高蓬松弱酸性表层改性ES纤维全面普及，触感如蚕丝般丝滑亲肤
91,SYN_PA,脂肪族与半芳香族聚酰胺纤维,PPA-F,半芳香族高温聚酰胺纤维 (PPA / PA9T / PA10T纤维),Polyphthalamide High-Temperature Fiber (PPA / PA9T),"对苯二甲酸与1,9-壬二胺/1,10-癸二胺半芳香族聚酰胺",165848-52-8,第3代耐回流焊高温特种尼龙,1980s,1998,Kuraray (日本可乐丽 Genestar) / 金发科技,高温熔融纺丝与高倍热牵伸 (熔体温度达320℃),1.17,7.5,0.88,6.8,18.0,0.9,26.0,306.0,170.0,是,否,是,"Genestar (可乐丽 PA9T), Vicnyl (金发科技 PA10T)",SMT无铅回流焊耐热电子元器件包装织物、高耐温汽车燃油蒸汽管路增强套管、高温酸碱工业过滤布,生物基癸二胺合成PA10T纤维全面产业化，耐水解与耐热蠕变性能在汽车动力总成管路实现关键替代
92,SYN_PA,脂肪族与半芳香族聚酰胺纤维,PA1010,聚酰胺1010纤维 (锦纶1010/全生物基长碳链尼龙),Polyamide 1010 Fiber (Nylon 1010),聚癸二酰癸二胺 (100%全蓖麻油来源),28774-87-0,第2代中国独创全生物基长碳链尼龙,1958,1960s,中科院化学所 / 上海赛科 / 山东东宝,熔体纺丝 (蓖麻油深加工制备癸二胺与癸二酸缩聚物),1.05,4.5,0.47,2.8,36.0,1.5,21.5,205.0,115.0,是,否,否,"Rilsan D, 东宝锦纶1010",海洋抗附着耐盐雾特种绳缆、高级工业毛刷丝、精密光纤被覆层、汽车刹车气动管路强化网,具有100%生物基碳含量认证，耐高低温冲击与耐油耐溶剂性优异，出口欧洲高端机械管路与轻量化绳缆
93,BIO_FDCA,新型生物基呋喃与芳杂聚酯纤维,PPC-F,聚碳酸亚丙酯纤维 (PPC/二氧化碳共聚纤维),Polypropylene Carbonate Fiber (CO2-derived PPC),二氧化碳与环氧丙烷无规交替共聚物,25511-85-7,第4代碳中和负碳固碳新型纤维,1969,2021,Shohei Inoue (井上祥平) / 中科院长春应化所 (王献红团队),熔融纺丝或湿纺 (高活性双金属催化二氧化碳固定缩聚),1.3,2.8,0.36,2.2,60.0,0.8,22.0,115.0,80.0,否,是,否,"PPC Fiber, 中科院负碳纤维",负碳环保可堆肥包装布、农用可控降解防尘网、医用一次性敷料无纺布,纤维中固定工业捕集废气CO2质量占比超40%，高热稳定性嵌段改性技术打通工业级高速熔纺瓶颈
94,REG_CELL,再生纤维素纤维,CNF-MACRO,微纳原纤化纳米纤维素宏观连续纤维 (CNF长丝),Cellulose Nanofiber Macrofilament (CNF Fiber),纯植物源一维纤维素纳米原纤高度定向聚集体,9004-34-6,第4代全天然超高强纳米组装长丝,2010s,2023,KTH 皇家理工学院 (Söderberg团队) / 华南理工 / 中科大,流体动力学微流控对准剪切自组装湿法纺丝 (无需任何衍生化化学试剂，纯物理纳米微纤对齐),1.52,12.0,1.6,45.0,7.5,8.5,21.0,,160.0,是,是,是,"NanocellFil, 华南理工纳米纤维素长丝",生物基全降解高刚度绿色汽车轻量化车身复合材料、环保可降解绿色防弹纤维、人造肌腱修复软组织,宏观连续拉丝速度达到50 m/min，比强度超越普通轻质合金，成为最具潜力的全生物源结构增强长丝
95,INORG_CERAMIC,先进连续陶瓷纤维,MULLITE-F,连续莫来石陶瓷纤维 (Mullite Fiber),Continuous Mullite Ceramic Fiber,化学计量比多晶莫来石 (3Al2O3·2SiO2),1302-93-8,第3代超高温抗蠕变陶瓷纤维,1970s,1980s,3M (Nextel 440) / 蔚蓝材料,溶胶-凝胶干法纺丝与1350℃精密相变热处理,3.05,7.0,2.1,220.0,1.0,0.0,100.0,1850.0,1300.0,否,否,是,"Nextel 440 (3M), 莫来石连续丝",航天飞机隔热瓦缝隙耐冲刷密封编织绳、高温工业燃烧炉微波加热衬套、航天防热微流星防护屏,极低热导率与极高热震稳定性，在1200℃以上连续服役抗蠕变性能保持世界领先
96,INORG_CERAMIC,先进连续陶瓷纤维,ZRO2-F,连续氧化锆耐火陶瓷纤维 (ZrO2纤维),Continuous Zirconia Ceramic Fiber,钇稳定四方晶相多晶氧化锆 (YSZ),1314-23-4,第3代耐极限超高温无机纤维,1960s,1974,Union Carbide (Zircar) / 中科院上海硅酸盐所,先驱体浸渍热解法(粘胶布载体浸渍锆盐烧结)或溶胶凝胶拉丝法,5.68,4.5,1.8,180.0,1.0,0.0,100.0,2700.0,2200.0,否,否,是,"Zircar Zirconia, 上硅所氧化锆纤维毡",超高温晶体生长炉(蓝宝石/单晶硅长晶炉)2000℃隔热绝热屏、核聚变托卡马克内壁绝热衬里、火箭发动机喷管极端防热层,纳米氧化钇微相稳定技术防止晶型高温相变粉化，长期耐受2000℃超高温氧化环境且蒸气压极低
